,dt,flight,alt_baro,alt_geom,gs,track,geom_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,nav_modes,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,mlat,tisb,messages,seen,rssi
12689,2022-10-16 18:34:31.578446,ACA834  ,36975,36725,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.109305,-74.878056,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],4881,0.2,-8.0
12690,2022-10-16 18:34:32.626532,ACA834  ,37000,36750,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.110049,-74.874841,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],4893,0.3,-9.8
12691,2022-10-16 18:34:33.741835,ACA834  ,37000,36750,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.110779,-74.872022,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],4932,0.1,-6.1
12692,2022-10-16 18:34:34.674708,ACA834  ,37000,36750,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.111493,-74.869147,8,186,0.6,2,1,9,1,3,perhour,2,2,[],[],4948,0.1,-6.0
12693,2022-10-16 18:34:35.758959,ACA834  ,37000,36750,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.112703,-74.864122,8,186,0.0,2,1,9,1,3,perhour,2,2,[],[],4960,0.0,-6.6
12694,2022-10-16 18:34:36.786165,ACA834  ,37000,36750,513.3,70.9,0,0556,none,A5,1012.8,36992,82.3,,45.113434,-74.861232,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],4974,0.1,-6.2
12695,2022-10-16 18:34:37.807472,ACA834  ,37000,36750,513.3,70.9,0,0556,none,A5,1012.8,36992,82.3,,45.114212,-74.858093,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],4989,0.1,-4.5
12696,2022-10-16 18:34:38.834415,ACA834  ,37000,36750,513.3,70.9,0,0556,none,A5,1012.8,36992,82.3,,45.114891,-74.855213,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],5025,0.3,-5.8
12697,2022-10-16 18:34:39.854529,ACA834  ,37000,36750,513.3,70.9,0,0556,none,A5,1012.8,36992,82.3,,45.115682,-74.852064,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],5040,0.3,-6.2
12698,2022-10-16 18:34:40.876753,ACA834  ,36975,36725,513.3,70.9,-64,0556,none,A5,1012.8,36992,82.3,,45.116287,-74.849519,8,186,0.5,2,1,9,1,3,perhour,2,2,[],[],5047,0.2,-5.9
12699,2022-10-16 18:34:41.896064,ACA834  ,37000,36750,513.3,70.9,0,0556,none,A5,1012.8,36992,82.3,,45.117462,-74.844818,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],5068,0.1,-5.8
12700,2022-10-16 18:34:42.925141,ACA834  ,36975,36725,513.3,70.9,0,0556,none,A5,1012.8,36992,82.3,,45.118336,-74.841346,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],5089,0.1,-5.7
12701,2022-10-16 18:34:43.966031,ACA834  ,36975,36725,513.3,70.9,0,0556,none,A5,1012.8,36992,82.3,,45.119081,-74.83813,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],5125,0.1,-6.6
12702,2022-10-16 18:34:44.992252,ACA834  ,36975,36725,513.3,70.9,-64,0556,none,A5,1012.8,36992,82.3,,45.119872,-74.834982,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],5147,0.0,-5.1
12703,2022-10-16 18:34:46.014796,ACA834  ,36975,36725,513.3,70.9,-64,0556,none,A5,1012.8,36992,82.3,,45.120575,-74.832132,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],5178,0.2,-8.3
12704,2022-10-16 18:34:47.042522,ACA834  ,36975,36725,513.3,70.9,0,0556,none,A5,1012.8,36992,82.3,,45.121353,-74.828993,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],5219,0.2,-8.1
12705,2022-10-16 18:34:48.068615,ACA834  ,36975,36725,513.3,70.9,0,0556,none,A5,1012.8,36992,82.3,,45.122131,-74.825854,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],5231,0.0,-9.1
12706,2022-10-16 18:34:49.093818,ACA834  ,36975,36725,512.7,70.8,64,0556,none,A5,1012.8,36992,82.3,,45.123131,-74.821718,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],5268,0.0,-10.9
12707,2022-10-16 18:34:50.123147,ACA834  ,36975,36725,512.7,70.8,64,0556,none,A5,1012.8,36992,82.3,,45.124008,-74.818268,8,186,0.0,2,1,9,1,3,perhour,2,2,[],[],5277,0.0,-9.9
12708,2022-10-16 18:34:51.157563,ACA834  ,36975,36725,512.7,70.8,64,0556,none,A5,1012.8,36992,82.3,,45.124713,-74.815421,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],5288,0.1,-10.5
12709,2022-10-16 18:34:52.186690,ACA834  ,36975,36725,512.7,70.8,64,0556,none,A5,1012.8,36992,82.3,,45.125381,-74.812578,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],5300,0.3,-7.9
12710,2022-10-16 18:34:53.216196,ACA834  ,36975,36725,512.7,70.8,64,0556,none,A5,1012.8,36992,82.3,,45.12625,-74.809057,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],5328,0.0,-5.6
